"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit
751,751,1025169,The Trapped 13: How We Survived The Thai Cave,2022-10-05,[Documentary],Thai,6.9,32,59.081,"In this compelling documentary, members of the Thai youth soccer team tell their stories of getting trapped in Tham Luang Cave in 2018 — and surviving.",0,[],0,102,N/A,0
1003,1003,1071806,Hunger,2023-04-04,"[Thriller, Drama]",Thai,7.4,241,49.671,A talented young street-food cook pushes herself to the limit after accepting an invitation to train under an infamous and ruthless chef.,0,['Song Sound Production'],0,145,There is a hunger that can never be fulfilled.,0
1075,1075,1034337,The Lost Lotteries,2022-11-16,"[Crime, Comedy]",Thai,6.6,14,47.295,Five down-on-their-luck strangers must band together to steal back winning lottery tickets worth millions from a wicked mafia boss.,0,['GMM Studios'],0,106,The loser team up for a lost cause.,0
1832,1832,8982,The Protector,2005-08-11,"[Action, Crime, Drama, Thriller]",Thai,7.1,750,33.686,"In Bangkok, the young Kham was raised by his father in the jungle with elephants as members of their family. When his old elephant and the baby Kern are stolen by criminals, Kham finds that the an...",6000000,"['Sahamongkolfilm', 'Baa-Ram-Ewe', 'Golden Network Asia', 'TF1 International', 'The Weinstein Company']",27165581,111,Vengeance Knows No Mercy.,21165581
1932,1932,745881,The Medium,2021-07-14,"[Horror, Thriller]",Thai,7.1,499,32.550,A horrifying story of a shaman’s inheritance in the Isan region of Thailand. But the goddess that appears to have taken possession of a family member turns out not to be as benevolent as it first ...,0,"['GDH 559', 'Northern Cross', 'Jorkwang Films', 'Showbox', 'Finecut']",7230000,131,A story about shamanism in Thailand.,7230000
2015,2015,151512,Jan Dara: The Beginning,2012-09-06,"[Drama, Romance]",Thai,5.7,26,31.882,"Set in the 1930s, the story recounts the growing pains of Jan, whose mother dies while giving birth to him and who’s intensely hated by his sadistic and debauched father. Jan grows up with his ste...",0,['Sahamongkolfilm'],0,137,"A tragedy of lust, love and revenge…",0
2043,2043,68507,Jan Dara,2001-09-28,"[Romance, Drama]",Thai,6.4,31,31.632,"Jan is a boy growing up in 1930s Siam in a wealthy, dysfunctional family where sex has a huge impact on everyone's lives. Jan is viewed by his father as cursed, since his mother died giving birth ...",0,['Tai Entertainment'],0,113,Asia's erotic phenomenon!,0
2679,2679,977177,Home for Rent,2023-04-06,"[Horror, Drama, Thriller]",Thai,6.4,5,26.874,A man becomes determined to protect his family from a dark cult whose members come in the guise of perfect tenants.,0,"['GDH 559', 'Jor Kwang Films', 'N8 Studio', 'CJ HK Entertainment']",0,124,Shocking mysterious in a rented house!,0
2786,2786,889741,Fast & Feel Love,2022-04-06,"[Comedy, Romance, Action]",Thai,7.2,20,26.244,"When a world champion of sport stacking is dumped by his long-time girlfriend, he has to learn basic adulting skills in order to live alone and take care of himself.",0,"['GDH 559', 'Very Sad Pictures', 'Happy Ending Film']",0,132,An action movie about daily life. Feel the speed. Feel the love.,0
2839,2839,16353,Ong Bak 2,2008-12-04,"[Adventure, Action, Thriller]",Thai,6.4,561,25.964,Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young ma...,8500000,"['Iyara Films', 'Sahamongkolfilm']",8936663,98,Warrior. Conqueror. Legend.,436663
