"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
0,0,385687,Fast X,2023-05-17,"['Action', 'Crime', 'Thriller']",English,7.4,1347,8363.473,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ev...",340000000,"['Universal Pictures', 'Original Film', 'One Race', 'Perfect Storm Entertainment']",652000000,142,The end of the road begins.,312000000
1,1,603692,John Wick: Chapter 4,2023-03-22,"['Action', 'Thriller', 'Crime']",English,7.9,2896,4210.313,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliance...",90000000,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg']",431769198,170,"No way back, one way out.",341769198
2,2,502356,The Super Mario Bros. Movie,2023-04-05,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",English,7.8,4628,3394.458,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are ...",100000000,"['Universal Pictures', 'Illumination', 'Nintendo']",1308766975,92,NaN,1208766975
3,3,569094,Spider-Man: Across the Spider-Verse,2023-05-31,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.8,1160,2859.047,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged...",100000000,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']",313522201,140,It's how you wear the mask that matters,213522201
5,5,667538,Transformers: Rise of the Beasts,2023-06-06,"['Action', 'Adventure', 'Science Fiction']",English,7.4,195,2453.807,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in t...",200000000,"['Skydance', 'Paramount', 'di Bonaventura Pictures', 'Bay Films', 'New Republic Pictures', 'Tom DeSanto/Don Murphy Production', 'Hasbro']",171045464,127,Unite or fall.,-28954536
7,7,447277,The Little Mermaid,2023-05-18,"['Adventure', 'Family', 'Fantasy', 'Romance']",English,6.2,616,1448.640,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With ...",250000000,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",414000000,135,"Watch and you'll see, some day I'll be, part of your world!",164000000
8,8,76600,Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']",English,7.7,8493,1344.884,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each othe...",460000000,"['20th Century Studios', 'Lightstorm Entertainment']",2320250281,192,Return to Pandora.,1860250281
9,9,713704,Evil Dead Rise,2023-04-12,"['Thriller', 'Horror']",English,7.1,1597,1285.781,Three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the m...,15000000,"['New Line Cinema', 'Ghost House Pictures', 'Renaissance Pictures', 'Pacific Renaissance Pictures', 'Wild Atlantic Pictures']",141512122,96,Mommy loves you to death.,126512122
10,10,1018494,Operation Seawolf,2022-10-07,"['War', 'Thriller', 'Action', 'Adventure', 'Mystery', 'Science Fiction', 'Drama']",English,6.0,41,1269.136,"During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining...",15000,['Relis Pic'],23000,86,Last mission to win this war.,8000
11,11,447365,Guardians of the Galaxy Vol. 3,2023-05-03,"['Science Fiction', 'Adventure', 'Action']",English,8.1,1932,1262.366,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, cou...",250000000,"['Marvel Studios', 'Kevin Feige Productions']",805801000,150,Once more with feeling.,555801000
